Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
NETFLTGILT.NS,22.26,2020/07/22,10:17 IST,-1.0100002,23.9,23.9,22.21,2501,20200416,21.69,19304.0,,,,
LICNETFGSC.NS,21.95,2020/07/22,10:01 IST,0.1800003,22.08,22.08,21.7,73,20200416,22.32,4760.0,,,,
