Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
RELIANCE.NS,1910.3,2020/07/20,11:40 IST,-1.3999023,1917.8,1929.9,1899.65,7514172,20200416,1458.41,690.0,,,,
RELIANCE.NS,1910.3,2020/07/20,11:40 IST,-1.3999023,1917.8,1929.9,1899.65,7514172,20200603,1257.0,51.0,,,,
INFY.NS,914.0,2020/07/20,11:40 IST,10.849976,908.5,924.45,908.5,6684019,20200416,673.7,1345.0,,,,
HDFCBANK.NS,1136.75,2020/07/20,11:40 IST,38.30005,1135.0,1152.9,1124.15,21545739,20200416,950.72,1056.0,,,,
VEDL.NS,108.8,2020/07/20,11:40 IST,-0.34999847,109.35,110.4,108.6,3538027,20200416,79.57,12650.0,,,,
