ticker,exchange
ASTEC,NS
BANDHANBNK,NS
BHARATRAS,NS
BHARTIARTL,NS
BHEL,NS
CUMMINSIND,NS
HDFCBANK,NS
HEROMOTOCO,NS
HINDPETRO,NS
HINDZINC,NS
INDUSINDBK,NS
INFY,NS
IRCTC,NS
ITC,NS
KOTAKGOLD,NS
LICNETFGSC,NS
N100,NS
NAUKRI,NS
NETFLTGILT,NS
NIFTYBEES,NS
NTPC,NS
PETRONET,NS
QUESS,NS
RELIANCE,NS
SYNGENE-EQ,NS
VBL,NS
VEDL,NS
